2020-08-31 18:46:19 startup archives unpack
2020-08-31 18:46:19 install perl-modules-5.28:all <none> 5.28.1-6+deb10u1
2020-08-31 18:46:19 status half-installed perl-modules-5.28:all 5.28.1-6+deb10u1
2020-08-31 18:46:20 status unpacked perl-modules-5.28:all 5.28.1-6+deb10u1
2020-08-31 18:46:20 install libgdbm6:amd64 <none> 1.18.1-4
2020-08-31 18:46:20 status triggers-pending libc-bin:amd64 2.28-10
2020-08-31 18:46:20 status half-installed libgdbm6:amd64 1.18.1-4
2020-08-31 18:46:20 status unpacked libgdbm6:amd64 1.18.1-4
2020-08-31 18:46:20 install libgdbm-compat4:amd64 <none> 1.18.1-4
2020-08-31 18:46:20 status half-installed libgdbm-compat4:amd64 1.18.1-4
2020-08-31 18:46:20 status unpacked libgdbm-compat4:amd64 1.18.1-4
2020-08-31 18:46:20 install libperl5.28:amd64 <none> 5.28.1-6+deb10u1
2020-08-31 18:46:20 status half-installed libperl5.28:amd64 5.28.1-6+deb10u1
2020-08-31 18:46:21 status unpacked libperl5.28:amd64 5.28.1-6+deb10u1
2020-08-31 18:46:21 install perl:amd64 <none> 5.28.1-6+deb10u1
2020-08-31 18:46:21 status half-installed perl:amd64 5.28.1-6+deb10u1
2020-08-31 18:46:21 status unpacked perl:amd64 5.28.1-6+deb10u1
2020-08-31 18:46:21 install libmpfr6:amd64 <none> 4.0.2-1
2020-08-31 18:46:21 status half-installed libmpfr6:amd64 4.0.2-1
2020-08-31 18:46:21 status unpacked libmpfr6:amd64 4.0.2-1
2020-08-31 18:46:21 install readline-common:all <none> 7.0-5
2020-08-31 18:46:21 status half-installed readline-common:all 7.0-5
2020-08-31 18:46:21 status unpacked readline-common:all 7.0-5
2020-08-31 18:46:21 install libreadline7:amd64 <none> 7.0-5
2020-08-31 18:46:21 status half-installed libreadline7:amd64 7.0-5
2020-08-31 18:46:21 status unpacked libreadline7:amd64 7.0-5
2020-08-31 18:46:21 install libsigsegv2:amd64 <none> 2.12-2
2020-08-31 18:46:21 status half-installed libsigsegv2:amd64 2.12-2
2020-08-31 18:46:21 status unpacked libsigsegv2:amd64 2.12-2
2020-08-31 18:46:22 startup packages configure
2020-08-31 18:46:22 configure libmpfr6:amd64 4.0.2-1 <none>
2020-08-31 18:46:22 status unpacked libmpfr6:amd64 4.0.2-1
2020-08-31 18:46:22 status half-configured libmpfr6:amd64 4.0.2-1
2020-08-31 18:46:22 status installed libmpfr6:amd64 4.0.2-1
2020-08-31 18:46:22 configure readline-common:all 7.0-5 <none>
2020-08-31 18:46:22 status unpacked readline-common:all 7.0-5
2020-08-31 18:46:22 status half-configured readline-common:all 7.0-5
2020-08-31 18:46:22 status installed readline-common:all 7.0-5
2020-08-31 18:46:22 configure libreadline7:amd64 7.0-5 <none>
2020-08-31 18:46:22 status unpacked libreadline7:amd64 7.0-5
2020-08-31 18:46:22 status half-configured libreadline7:amd64 7.0-5
2020-08-31 18:46:22 status installed libreadline7:amd64 7.0-5
2020-08-31 18:46:22 configure libsigsegv2:amd64 2.12-2 <none>
2020-08-31 18:46:22 status unpacked libsigsegv2:amd64 2.12-2
2020-08-31 18:46:22 status half-configured libsigsegv2:amd64 2.12-2
2020-08-31 18:46:22 status installed libsigsegv2:amd64 2.12-2
2020-08-31 18:46:22 startup archives unpack
2020-08-31 18:46:22 install gawk:amd64 <none> 1:4.2.1+dfsg-1
2020-08-31 18:46:22 status half-installed gawk:amd64 1:4.2.1+dfsg-1
2020-08-31 18:46:22 status unpacked gawk:amd64 1:4.2.1+dfsg-1
2020-08-31 18:46:22 install libapt-inst2.0:amd64 <none> 1.8.2.1
2020-08-31 18:46:22 status half-installed libapt-inst2.0:amd64 1.8.2.1
2020-08-31 18:46:22 status unpacked libapt-inst2.0:amd64 1.8.2.1
2020-08-31 18:46:22 install apt-utils:amd64 <none> 1.8.2.1
2020-08-31 18:46:22 status half-installed apt-utils:amd64 1.8.2.1
2020-08-31 18:46:22 status unpacked apt-utils:amd64 1.8.2.1
2020-08-31 18:46:22 install dmidecode:amd64 <none> 3.2-1
2020-08-31 18:46:22 status half-installed dmidecode:amd64 3.2-1
2020-08-31 18:46:22 status unpacked dmidecode:amd64 3.2-1
2020-08-31 18:46:22 install libssl1.1:amd64 <none> 1.1.1d-0+deb10u3
2020-08-31 18:46:22 status half-installed libssl1.1:amd64 1.1.1d-0+deb10u3
2020-08-31 18:46:22 status unpacked libssl1.1:amd64 1.1.1d-0+deb10u3
2020-08-31 18:46:22 install libkmod2:amd64 <none> 26-1
2020-08-31 18:46:22 status half-installed libkmod2:amd64 26-1
2020-08-31 18:46:22 status unpacked libkmod2:amd64 26-1
2020-08-31 18:46:22 install lsb-base:all <none> 10.2019051400
2020-08-31 18:46:22 status half-installed lsb-base:all 10.2019051400
2020-08-31 18:46:22 status unpacked lsb-base:all 10.2019051400
2020-08-31 18:46:22 install udev:amd64 <none> 241-7~deb10u4
2020-08-31 18:46:22 status half-installed udev:amd64 241-7~deb10u4
2020-08-31 18:46:23 status unpacked udev:amd64 241-7~deb10u4
2020-08-31 18:46:23 install lsof:amd64 <none> 4.91+dfsg-1
2020-08-31 18:46:23 status half-installed lsof:amd64 4.91+dfsg-1
2020-08-31 18:46:23 status unpacked lsof:amd64 4.91+dfsg-1
2020-08-31 18:46:23 install libpcre2-8-0:amd64 <none> 10.32-5
2020-08-31 18:46:23 status half-installed libpcre2-8-0:amd64 10.32-5
2020-08-31 18:46:23 status unpacked libpcre2-8-0:amd64 10.32-5
2020-08-31 18:46:23 install libpsl5:amd64 <none> 0.20.2-2
2020-08-31 18:46:23 status half-installed libpsl5:amd64 0.20.2-2
2020-08-31 18:46:23 status unpacked libpsl5:amd64 0.20.2-2
2020-08-31 18:46:23 install wget:amd64 <none> 1.20.1-1.1
2020-08-31 18:46:23 status half-installed wget:amd64 1.20.1-1.1
2020-08-31 18:46:23 status unpacked wget:amd64 1.20.1-1.1
2020-08-31 18:46:23 install libncurses6:amd64 <none> 6.1+20181013-2+deb10u2
2020-08-31 18:46:23 status half-installed libncurses6:amd64 6.1+20181013-2+deb10u2
2020-08-31 18:46:23 status unpacked libncurses6:amd64 6.1+20181013-2+deb10u2
2020-08-31 18:46:23 install bc:amd64 <none> 1.07.1-2+b1
2020-08-31 18:46:23 status half-installed bc:amd64 1.07.1-2+b1
2020-08-31 18:46:23 status unpacked bc:amd64 1.07.1-2+b1
2020-08-31 18:46:23 install binutils-common:amd64 <none> 2.31.1-16
2020-08-31 18:46:23 status half-installed binutils-common:amd64 2.31.1-16
2020-08-31 18:46:24 status unpacked binutils-common:amd64 2.31.1-16
2020-08-31 18:46:24 install libbinutils:amd64 <none> 2.31.1-16
2020-08-31 18:46:24 status half-installed libbinutils:amd64 2.31.1-16
2020-08-31 18:46:24 status unpacked libbinutils:amd64 2.31.1-16
2020-08-31 18:46:24 install binutils-x86-64-linux-gnu:amd64 <none> 2.31.1-16
2020-08-31 18:46:24 status half-installed binutils-x86-64-linux-gnu:amd64 2.31.1-16
2020-08-31 18:46:24 status unpacked binutils-x86-64-linux-gnu:amd64 2.31.1-16
2020-08-31 18:46:24 install binutils:amd64 <none> 2.31.1-16
2020-08-31 18:46:24 status half-installed binutils:amd64 2.31.1-16
2020-08-31 18:46:24 status unpacked binutils:amd64 2.31.1-16
2020-08-31 18:46:24 install openssl:amd64 <none> 1.1.1d-0+deb10u3
2020-08-31 18:46:24 status half-installed openssl:amd64 1.1.1d-0+deb10u3
2020-08-31 18:46:24 status unpacked openssl:amd64 1.1.1d-0+deb10u3
2020-08-31 18:46:24 install ca-certificates:all <none> 20200601~deb10u1
2020-08-31 18:46:24 status half-installed ca-certificates:all 20200601~deb10u1
2020-08-31 18:46:24 status unpacked ca-certificates:all 20200601~deb10u1
2020-08-31 18:46:24 install libisl19:amd64 <none> 0.20-2
2020-08-31 18:46:24 status half-installed libisl19:amd64 0.20-2
2020-08-31 18:46:25 status unpacked libisl19:amd64 0.20-2
2020-08-31 18:46:25 install libmpc3:amd64 <none> 1.1.0-1
2020-08-31 18:46:25 status half-installed libmpc3:amd64 1.1.0-1
2020-08-31 18:46:25 status unpacked libmpc3:amd64 1.1.0-1
2020-08-31 18:46:25 install cpp-8:amd64 <none> 8.3.0-6
2020-08-31 18:46:25 status half-installed cpp-8:amd64 8.3.0-6
2020-08-31 18:46:26 status unpacked cpp-8:amd64 8.3.0-6
2020-08-31 18:46:26 install cpp:amd64 <none> 4:8.3.0-1
2020-08-31 18:46:26 status half-installed cpp:amd64 4:8.3.0-1
2020-08-31 18:46:26 status unpacked cpp:amd64 4:8.3.0-1
2020-08-31 18:46:26 install libdevmapper1.02.1:amd64 <none> 2:1.02.155-3
2020-08-31 18:46:26 status half-installed libdevmapper1.02.1:amd64 2:1.02.155-3
2020-08-31 18:46:26 status unpacked libdevmapper1.02.1:amd64 2:1.02.155-3
2020-08-31 18:46:26 install dmsetup:amd64 <none> 2:1.02.155-3
2020-08-31 18:46:26 status half-installed dmsetup:amd64 2:1.02.155-3
2020-08-31 18:46:26 status unpacked dmsetup:amd64 2:1.02.155-3
2020-08-31 18:46:26 install libcc1-0:amd64 <none> 8.3.0-6
2020-08-31 18:46:26 status half-installed libcc1-0:amd64 8.3.0-6
2020-08-31 18:46:26 status unpacked libcc1-0:amd64 8.3.0-6
2020-08-31 18:46:26 install libgomp1:amd64 <none> 8.3.0-6
2020-08-31 18:46:26 status half-installed libgomp1:amd64 8.3.0-6
2020-08-31 18:46:26 status unpacked libgomp1:amd64 8.3.0-6
2020-08-31 18:46:26 install libitm1:amd64 <none> 8.3.0-6
2020-08-31 18:46:26 status half-installed libitm1:amd64 8.3.0-6
2020-08-31 18:46:26 status unpacked libitm1:amd64 8.3.0-6
2020-08-31 18:46:26 install libatomic1:amd64 <none> 8.3.0-6
2020-08-31 18:46:26 status half-installed libatomic1:amd64 8.3.0-6
2020-08-31 18:46:26 status unpacked libatomic1:amd64 8.3.0-6
2020-08-31 18:46:26 install libasan5:amd64 <none> 8.3.0-6
2020-08-31 18:46:26 status half-installed libasan5:amd64 8.3.0-6
2020-08-31 18:46:26 status unpacked libasan5:amd64 8.3.0-6
2020-08-31 18:46:26 install liblsan0:amd64 <none> 8.3.0-6
2020-08-31 18:46:26 status half-installed liblsan0:amd64 8.3.0-6
2020-08-31 18:46:26 status unpacked liblsan0:amd64 8.3.0-6
2020-08-31 18:46:27 install libtsan0:amd64 <none> 8.3.0-6
2020-08-31 18:46:27 status half-installed libtsan0:amd64 8.3.0-6
2020-08-31 18:46:27 status unpacked libtsan0:amd64 8.3.0-6
2020-08-31 18:46:27 install libubsan1:amd64 <none> 8.3.0-6
2020-08-31 18:46:27 status half-installed libubsan1:amd64 8.3.0-6
2020-08-31 18:46:27 status unpacked libubsan1:amd64 8.3.0-6
2020-08-31 18:46:27 install libmpx2:amd64 <none> 8.3.0-6
2020-08-31 18:46:27 status half-installed libmpx2:amd64 8.3.0-6
2020-08-31 18:46:27 status unpacked libmpx2:amd64 8.3.0-6
2020-08-31 18:46:27 install libquadmath0:amd64 <none> 8.3.0-6
2020-08-31 18:46:27 status half-installed libquadmath0:amd64 8.3.0-6
2020-08-31 18:46:27 status unpacked libquadmath0:amd64 8.3.0-6
2020-08-31 18:46:27 install libgcc-8-dev:amd64 <none> 8.3.0-6
2020-08-31 18:46:27 status half-installed libgcc-8-dev:amd64 8.3.0-6
2020-08-31 18:46:27 status unpacked libgcc-8-dev:amd64 8.3.0-6
2020-08-31 18:46:27 install gcc-8:amd64 <none> 8.3.0-6
2020-08-31 18:46:27 status half-installed gcc-8:amd64 8.3.0-6
2020-08-31 18:46:29 status unpacked gcc-8:amd64 8.3.0-6
2020-08-31 18:46:29 install gcc:amd64 <none> 4:8.3.0-1
2020-08-31 18:46:29 status half-installed gcc:amd64 4:8.3.0-1
2020-08-31 18:46:29 status unpacked gcc:amd64 4:8.3.0-1
2020-08-31 18:46:29 install libkeyutils1:amd64 <none> 1.6-6
2020-08-31 18:46:29 status half-installed libkeyutils1:amd64 1.6-6
2020-08-31 18:46:29 status unpacked libkeyutils1:amd64 1.6-6
2020-08-31 18:46:29 install libkrb5support0:amd64 <none> 1.17-3
2020-08-31 18:46:29 status half-installed libkrb5support0:amd64 1.17-3
2020-08-31 18:46:29 status unpacked libkrb5support0:amd64 1.17-3
2020-08-31 18:46:29 install libk5crypto3:amd64 <none> 1.17-3
2020-08-31 18:46:29 status half-installed libk5crypto3:amd64 1.17-3
2020-08-31 18:46:29 status unpacked libk5crypto3:amd64 1.17-3
2020-08-31 18:46:29 install libkrb5-3:amd64 <none> 1.17-3
2020-08-31 18:46:29 status half-installed libkrb5-3:amd64 1.17-3
2020-08-31 18:46:29 status unpacked libkrb5-3:amd64 1.17-3
2020-08-31 18:46:29 install libgssapi-krb5-2:amd64 <none> 1.17-3
2020-08-31 18:46:29 status half-installed libgssapi-krb5-2:amd64 1.17-3
2020-08-31 18:46:29 status unpacked libgssapi-krb5-2:amd64 1.17-3
2020-08-31 18:46:29 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-1+deb10u1
2020-08-31 18:46:29 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-08-31 18:46:29 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-08-31 18:46:29 install libsasl2-2:amd64 <none> 2.1.27+dfsg-1+deb10u1
2020-08-31 18:46:29 status half-installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-08-31 18:46:29 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-08-31 18:46:29 install libldap-common:all <none> 2.4.47+dfsg-3+deb10u2
2020-08-31 18:46:29 status half-installed libldap-common:all 2.4.47+dfsg-3+deb10u2
2020-08-31 18:46:29 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u2
2020-08-31 18:46:29 install libldap-2.4-2:amd64 <none> 2.4.47+dfsg-3+deb10u2
2020-08-31 18:46:29 status half-installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u2
